policy,page_kb,physical_kb,total_accesses,page_faults,disk_writes,fault_rate
lru,4,128,10,8,0,80.00
lru,4,256,10,8,0,80.00
lru,4,512,10,8,0,80.00
lru,4,1024,10,8,0,80.00
lru,4,2048,10,8,0,80.00
lru,8,128,10,5,0,50.00
lru,8,256,10,5,0,50.00
lru,8,512,10,5,0,50.00
lru,8,1024,10,5,0,50.00
lru,8,2048,10,5,0,50.00
lru,16,128,10,4,0,40.00
lru,16,256,10,4,0,40.00
lru,16,512,10,4,0,40.00
lru,16,1024,10,4,0,40.00
lru,16,2048,10,4,0,40.00
fifo,4,128,10,8,0,80.00
fifo,4,256,10,8,0,80.00
fifo,4,512,10,8,0,80.00
fifo,4,1024,10,8,0,80.00
fifo,4,2048,10,8,0,80.00
fifo,8,128,10,5,0,50.00
fifo,8,256,10,5,0,50.00
fifo,8,512,10,5,0,50.00
fifo,8,1024,10,5,0,50.00
fifo,8,2048,10,5,0,50.00
fifo,16,128,10,4,0,40.00
fifo,16,256,10,4,0,40.00
fifo,16,512,10,4,0,40.00
fifo,16,1024,10,4,0,40.00
fifo,16,2048,10,4,0,40.00
random,4,128,10,8,0,80.00
random,4,256,10,8,0,80.00
random,4,512,10,8,0,80.00
random,4,1024,10,8,0,80.00
random,4,2048,10,8,0,80.00
random,8,128,10,5,0,50.00
random,8,256,10,5,0,50.00
random,8,512,10,5,0,50.00
random,8,1024,10,5,0,50.00
random,8,2048,10,5,0,50.00
random,16,128,10,4,0,40.00
random,16,256,10,4,0,40.00
random,16,512,10,4,0,40.00
random,16,1024,10,4,0,40.00
random,16,2048,10,4,0,40.00
